
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=179>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=180>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=181>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=182>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=183>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=184>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=185>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=186>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=187>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=188>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=189>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=190>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=191>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=192>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=193>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=194>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=195>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=196>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=197>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=198>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=199>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=200>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=201>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=202>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=203>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=204>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=205>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=206>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=207>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=208>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=209>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=210>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=211>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=212>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=213>
